[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
566     | 0.4504    | 0.4505    |
567     | 0.4504    | 0.4506    |
568     | 0.4506    | 0.4505    |
569     | 0.4506    | 0.4506    |
570     | 0.4507    | 0.4506    |
571     | 0.4507    | 0.4505    |
572     | 0.4509    | 0.4505    |
573     | 0.4509    | 0.4507    |
574     | 0.4509    | 0.4507    |
575     | 0.4509    | 0.4506    |
576     | 0.451     | 0.4505    |
577     | 0.4512    | 0.4506    |
578     | 0.4512    | 0.4506    |
579     | 0.4512    | 0.4508    |
580     | 0.4511    | 0.4508    |
581     | 0.4513    | 0.4509    |
582     | 0.4513    | 0.4509    |
583     | 0.4514    | 0.4508    |
584     | 0.4514    | 0.4508    |
585     | 0.4513    | 0.4508    |
586     | 0.4514    | 0.4509    |
587     | 0.4514    | 0.4509    |
588     | 0.4513    | 0.4509    |
589     | 0.4515    | 0.451     |
590     | 0.4514    | 0.451     |
591     | 0.4515    | 0.4511    |
592     | 0.4515    | 0.4511    |
593     | 0.4515    | 0.4511    |
594     | 0.4515    | 0.451     |
595     | 0.4515    | 0.4508    |
596     | 0.4515    | 0.451     |
597     | 0.4515    | 0.4506    |
598     | 0.4516    | 0.4506    |
599     | 0.4515    | 0.4507    |
600     | 0.4516    | 0.4509    |
601     | 0.4517    | 0.4509    |
602     | 0.4518    | 0.451     |
603     | 0.4517    | 0.4508    |
604     | 0.4517    | 0.4508    |
605     | 0.4517    | 0.4508    |
606     | 0.4517    | 0.4508    |
607     | 0.4517    | 0.4507    |
608     | 0.4517    | 0.4507    |
609     | 0.4518    | 0.4506    |
610     | 0.4518    | 0.4507    |
611     | 0.4518    | 0.4509    |
612     | 0.4519    | 0.4508    |
613     | 0.4519    | 0.4511    |
614     | 0.452     | 0.4512    |
615     | 0.4519    | 0.4513    |
616     | 0.452     | 0.4512    |
617     | 0.452     | 0.4512    |
618     | 0.4521    | 0.4509    |
619     | 0.4521    | 0.4509    |
620     | 0.4521    | 0.451     |
621     | 0.452     | 0.451     |
622     | 0.4519    | 0.4509    |
623     | 0.452     | 0.4508    |
624     | 0.452     | 0.4509    |
625     | 0.452     | 0.451     |
626     | 0.452     | 0.4513    |
627     | 0.452     | 0.4512    |
