[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar  -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel_new_lm.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel_new_lm.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
457     | 0.4606    | 0.4548    |
458     | 0.4606    | 0.4548    |
459     | 0.4606    | 0.4548    |
460     | 0.4606    | 0.4547    |
461     | 0.4606    | 0.4546    |
462     | 0.4611    | 0.4547    |
463     | 0.4611    | 0.4546    |
464     | 0.4612    | 0.4548    |
465     | 0.4613    | 0.4548    |
466     | 0.4613    | 0.4548    |
467     | 0.4613    | 0.4548    |
468     | 0.4613    | 0.4549    |
469     | 0.4611    | 0.4548    |
470     | 0.4613    | 0.455     |
471     | 0.4612    | 0.455     |
472     | 0.4613    | 0.455     |
473     | 0.4613    | 0.4551    |
474     | 0.4613    | 0.4551    |
475     | 0.4613    | 0.455     |
476     | 0.4614    | 0.455     |
477     | 0.4614    | 0.4549    |
478     | 0.4614    | 0.455     |
479     | 0.4614    | 0.4551    |
480     | 0.4615    | 0.455     |
481     | 0.4616    | 0.455     |
482     | 0.4614    | 0.455     |
483     | 0.4614    | 0.4549    |
484     | 0.4614    | 0.4548    |
485     | 0.4616    | 0.4553    |
486     | 0.4617    | 0.4553    |
487     | 0.4616    | 0.4553    |
488     | 0.4617    | 0.4553    |
489     | 0.4619    | 0.4552    |
490     | 0.4619    | 0.4553    |
491     | 0.4618    | 0.4554    |
492     | 0.4618    | 0.4555    |
493     | 0.4619    | 0.4553    |
494     | 0.4618    | 0.4552    |
495     | 0.4618    | 0.4553    |
496     | 0.4618    | 0.4553    |
497     | 0.4621    | 0.4556    |
498     | 0.4621    | 0.4554    |
499     | 0.4621    | 0.4554    |
500     | 0.4622    | 0.4554    |
501     | 0.4621    | 0.4552    |
502     | 0.4622    | 0.4554    |
503     | 0.4621    | 0.4555    |
504     | 0.4622    | 0.4554    |
505     | 0.4622    | 0.4553    |
506     | 0.4622    | 0.4553    |
507     | 0.4622    | 0.4553    |
508     | 0.4623    | 0.4553    |
509     | 0.4623    | 0.4554    |
510     | 0.4623    | 0.4554    |
511     | 0.4623    | 0.4552    |
512     | 0.4624    | 0.4554    |
513     | 0.4623    | 0.4554    |
514     | 0.4625    | 0.4556    |
515     | 0.4625    | 0.4555    |
516     | 0.4625    | 0.4554    |
517     | 0.4625    | 0.4554    |
518     | 0.4625    | 0.4555    |
519     | 0.4626    | 0.4556    |
520     | 0.4626    | 0.4557    |
521     | 0.4626    | 0.4557    |
522     | 0.4626    | 0.456     |
523     | 0.4626    | 0.4559    |
524     | 0.4625    | 0.4559    |
525     | 0.4627    | 0.4558    |
526     | 0.4628    | 0.4555    |
527     | 0.4629    | 0.4556    |
528     | 0.4628    | 0.4556    |
529     | 0.4629    | 0.456     |
530     | 0.4631    | 0.456     |
531     | 0.463     | 0.4563    |
532     | 0.463     | 0.4563    |
533     | 0.4632    | 0.4568    |
534     | 0.4633    | 0.4569    |
535     | 0.4633    | 0.4569    |
536     | 0.4633    | 0.4569    |
537     | 0.4634    | 0.4569    |
538     | 0.4634    | 0.4568    |
539     | 0.4635    | 0.4568    |
540     | 0.4634    | 0.4568    |
541     | 0.4635    | 0.4566    |
542     | 0.4635    | 0.4566    |
543     | 0.4635    | 0.4565    |
544     | 0.4636    | 0.4564    |
545     | 0.4637    | 0.4565    |
546     | 0.4638    | 0.4565    |
547     | 0.4638    | 0.4565    |
548     | 0.4639    | 0.4567    |
549     | 0.4638    | 0.4567    |
550     | 0.4639    | 0.4567    |
551     | 0.4639    | 0.4565    |
552     | 0.4639    | 0.4565    |
553     | 0.464     | 0.4565    |
554     | 0.464     | 0.4564    |
555     | 0.4641    | 0.4567    |
556     | 0.4641    | 0.4566    |
557     | 0.4642    | 0.4564    |
558     | 0.4641    | 0.4566    |
559     | 0.4642    | 0.4566    |
560     | 0.4643    | 0.4566    |
561     | 0.4642    | 0.4563    |
562     | 0.4641    | 0.4563    |
563     | 0.4641    | 0.4563    |
564     | 0.4642    | 0.4563    |
