[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold2/train.txt -test Fold2/test.txt -validate Fold2/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-lm2.txt

[+] General Parameters:
Training data:  Fold2/train.txt
Test data:      Fold2/test.txt
Validation data:        Fold2/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-lm2.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold2/train.txt]... [Done.]
(6000 ranked lists, 716683 entries read)
Reading feature file [Fold2/vali.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Reading feature file [Fold2/test.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
361     | 0.4615    | 0.4415    |
362     | 0.4616    | 0.4413    |
363     | 0.4616    | 0.4411    |
364     | 0.4618    | 0.4412    |
365     | 0.4618    | 0.4415    |
366     | 0.4619    | 0.4414    |
367     | 0.4619    | 0.4411    |
368     | 0.4619    | 0.4412    |
369     | 0.4619    | 0.4412    |
370     | 0.462     | 0.441     |
371     | 0.4621    | 0.4411    |
372     | 0.4621    | 0.4412    |
373     | 0.4622    | 0.441     |
374     | 0.4623    | 0.4409    |
375     | 0.4622    | 0.4408    |
376     | 0.4622    | 0.4406    |
377     | 0.4623    | 0.4407    |
378     | 0.4623    | 0.4407    |
379     | 0.4623    | 0.4407    |
380     | 0.4625    | 0.441     |
381     | 0.4624    | 0.441     |
382     | 0.4626    | 0.441     |
383     | 0.4626    | 0.441     |
384     | 0.4625    | 0.4411    |
385     | 0.4628    | 0.4409    |
386     | 0.4627    | 0.441     |
387     | 0.4629    | 0.441     |
388     | 0.463     | 0.4413    |
389     | 0.463     | 0.4411    |
390     | 0.463     | 0.4414    |
391     | 0.4632    | 0.4416    |
392     | 0.4633    | 0.4416    |
393     | 0.4633    | 0.4417    |
394     | 0.4633    | 0.4416    |
395     | 0.4633    | 0.4415    |
396     | 0.4633    | 0.4418    |
397     | 0.4633    | 0.4416    |
398     | 0.4633    | 0.4417    |
399     | 0.4633    | 0.4416    |
400     | 0.4633    | 0.4416    |
401     | 0.4634    | 0.4418    |
402     | 0.4635    | 0.4417    |
403     | 0.4634    | 0.4417    |
404     | 0.4634    | 0.4418    |
405     | 0.4634    | 0.4416    |
406     | 0.4635    | 0.4417    |
407     | 0.4635    | 0.4417    |
408     | 0.4636    | 0.4417    |
409     | 0.4638    | 0.4419    |
410     | 0.4638    | 0.4421    |
411     | 0.464     | 0.4422    |
412     | 0.464     | 0.4422    |
413     | 0.4641    | 0.4424    |
414     | 0.4641    | 0.4422    |
415     | 0.4642    | 0.4421    |
416     | 0.4642    | 0.4421    |
417     | 0.4642    | 0.4421    |
418     | 0.4642    | 0.4421    |
419     | 0.4642    | 0.4421    |
420     | 0.4642    | 0.4422    |
421     | 0.4643    | 0.4423    |
422     | 0.4643    | 0.4422    |
423     | 0.4643    | 0.4421    |
424     | 0.4643    | 0.4421    |
425     | 0.4643    | 0.4421    |
426     | 0.4643    | 0.4421    |
427     | 0.4643    | 0.4421    |
428     | 0.4643    | 0.4421    |
429     | 0.4644    | 0.442     |
430     | 0.4644    | 0.4419    |
